Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
FORTIS,926.05,-0.34,10066475.0,0.29,,,,,,,,,233275.0,-87.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
VOLTAS,1324.7,0.31,7092375.0,0.71,,,,,,,,,209250.0,-87.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
HEROMOTOCO,5638.0,1.06,4726050.0,0.55,,,,,,,,,152700.0,-87.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ADANIPOWER,211.34,0.22,156831900.0,0.1,,,,,,,,,812950.0,-87.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
VBL,445.1,0.63,54508800.0,0.15,,,,,,,,,323850.0,-87.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
IEX,131.35,1.16,72884250.0,0.06,,,,,,,,,913500.0,-87.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
NIFTYNXT50,74540.2,0.79,18975.0,0.26,,,,,,,,,450.0,-87.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
RVNL,233.73,0.9,34911800.0,-0.09,,,,,,,,,444675.0,-87.59,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ADANIGREEN,1400.4,0.57,26541000.0,0.19,,,,,,,,,282000.0,-87.74,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
JINDALSTEL,1127.3,0.42,13781250.0,0.27,,,,,,,,,138750.0,-87.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
IRFC,90.27,0.75,87586625.0,-0.35,,,,,,,,,819175.0,-87.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
SHREECEM,26980.0,0.63,371275.0,0.23,,,,,,,,,3825.0,-88.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
TORNTPHARM,5010.0,-1.08,3644500.0,0.22,,,,,,,,,35375.0,-88.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
OFSS,11636.0,0.06,1265000.0,0.43,,,,,,,,,30900.0,-88.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ADANIENSOL,1656.9,0.57,19381950.0,0.2,,,,,,,,,95850.0,-88.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BRITANNIA,5423.5,-0.02,1887500.0,0.63,,,,,,,,,28000.0,-88.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
PAGEIND,39980.0,0.03,234540.0,-0.09,,,,,,,,,3300.0,-88.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BAJAJ-AUTO,11660.0,0.53,1867500.0,0.26,,,,,,,,,26025.0,-88.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
VMM,110.47,-1.24,47374800.0,0.68,,,,,,,,,819650.0,-88.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
SWIGGY,291.7,0.71,66650825.0,0.58,,,,,,,,,1299400.0,-88.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
DELHIVERY,469.55,-0.42,27761425.0,0.19,,,,,,,,,539500.0,-88.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
SOLARINDS,18803.0,0.06,790350.0,0.11,,,,,,,,,7300.0,-89.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
