Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
POLICYBZR,1622.3,0.74,9266600.0,0.3,,,,,,,,,138250.0,-80.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
ZYDUSLIFE,1113.2,-0.56,10035000.0,0.41,,,,,,,,,207000.0,-76.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
INOXWIND,80.2,0.86,105612800.0,-0.15,,,,,,,,,1600000.0,-78.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
LUPIN,2378.0,-0.73,6459575.0,0.48,,,,,,,,,118575.0,-78.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
MPHASIS,2410.1,0.82,3892075.0,0.26,,,,,,,,,61050.0,-78.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
LAURUSLABS,1849.9,0.83,16919250.0,0.97,,,,,,,,,517650.0,-75.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
ASIANPAINT,2769.0,0.79,7461250.0,0.69,,,,,,,,,187000.0,-75.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
HDFCBANK,742.7,-0.13,303572750.0,1.14,,,,,,,,,6018350.0,-67.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
SENSEX,79075.8,0.55,36120.0,1.12,,,,,,,,,5300.0,-68.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
ALKEM,5618.0,-1.09,1399750.0,0.13,,,,,,,,,24500.0,-65.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,Negative Price Momentum
BANKNIFTY,58100.0,0.66,2123280.0,-1.15,,,,,,,,,173760.0,-62.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
MARICO,861.95,-1.45,17360400.0,8.86,,,,,,,,,4092000.0,-53.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup
KALYANKJIL,584.4,-1.51,23052600.0,-0.13,,,,,,,,,4822200.0,-62.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,Negative Price Momentum
GLENMARK,2217.4,-0.42,11740125.0,0.48,,,,,,,,,179625.0,-71.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
YESBANK,23.08,0.74,1171816900.0,-0.01,,,,,,,,,13217500.0,-71.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
SUPREMEIND,3510.7,-0.23,2287425.0,0.2,,,,,,,,,22925.0,-84.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
POWERGRID,284.4,0.71,46386600.0,0.09,,,,,,,,,651700.0,-84.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,
