symbol,outcome_source,outcome_timestamp,outcome_date
AUBANK,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
COFORGE,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
ETERNAL,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
360ONE,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
BDL,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
DALBHARAT,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
PREMIERENE,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
SHRIRAMFIN,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
CUMMINSIND,approaching_breakouts.csv,2026-08-20 09:56:11.955507000,2026-08-20
CUMMINSIND,approaching_breakouts.csv,2026-08-21 09:20:10.997557000,2026-08-21
SBICARD,approaching_breakouts.csv,2026-08-21 09:20:10.997557000,2026-08-21
