Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
BRITANNIA,"5,424.5",-0.41,-0.41,-0.41,-0.41,-0.41,2034375,0.06,0.06,,,,,,,,,9250,-96.13,-96.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
CDSL,"1,345.4",0.29,0.29,0.29,0.29,0.29,9639175,0.1,0.1,,,,,,,,,35625,-96.09,-96.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
BANKBARODA,244.1,0.43,0.43,0.43,0.43,0.43,128863800,0.02,0.02,,,,,,,,,374400,-96.08,-96.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
ULTRACEMCO,11917,0.33,0.33,0.33,0.33,0.33,1706800,0.01,0.01,,,,,,,,,7050,-96.02,-96.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
NESTLEIND,1524,0,0,0,0,0,8897500,0.38,0.38,,,,,,,,,73500,-96.01,-96.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
POLICYBZR,"1,605.8",0.48,0.48,0.48,0.48,0.48,9264850,0.01,0.01,,,,,,,,,19600,-95.93,-95.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
BHARTIARTL,"1,965.9",0.21,0.21,0.21,0.21,0.21,56177775,0,0,,,,,,,,,128250,-95.92,-95.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
RECLTD,371.25,0.15,0.15,0.15,0.15,0.15,43819650,0.01,0.01,,,,,,,,,154350,-95.87,-95.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
HEROMOTOCO,"5,361.8",0.12,0.12,0.12,0.12,0.12,4762800,0.35,0.35,,,,,,,,,66600,-95.81,-95.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
INDHOTEL,753.7,0.32,0.32,0.32,0.32,0.32,21120000,0.15,0.15,,,,,,,,,104000,-95.78,-95.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
JUBLFOOD,437.2,-0.73,-0.73,-0.73,-0.73,-0.73,17166250,0.1,0.1,,,,,,,,,92500,-95.77,-95.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
TITAN,4865,0.1,0.1,0.1,0.1,0.1,5600700,-0.02,-0.02,,,,,,,,,20300,-95.75,-95.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
ADANIPORTS,"1,666.7",-0.25,-0.25,-0.25,-0.25,-0.25,21475700,0.38,0.38,,,,,,,,,225150,-95.74,-95.74,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
OIL,453.15,-1.02,-1.02,-1.02,-1.02,-1.02,16349200,0.08,0.08,,,,,,,,,63000,-95.73,-95.73,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
POWERGRID,286.5,0.37,0.37,0.37,0.37,0.37,43325700,0.06,0.06,,,,,,,,,129200,-95.68,-95.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
IREDA,117.34,0.41,0.41,0.41,0.41,0.41,65386250,0.06,0.06,,,,,,,,,262450,-95.54,-95.54,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
ADANIENSOL,"1,678.8",0.96,0.96,0.96,0.96,0.96,19057275,0.05,0.05,,,,,,,,,64125,-95.53,-95.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
NTPC,347.75,0.52,0.52,0.52,0.52,0.52,99562500,-0.05,-0.05,,,,,,,,,189000,-95.52,-95.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
MANAPPURAM,372,0.83,0.83,0.83,0.83,0.83,52773000,0.31,0.31,,,,,,,,,501000,-95.51,-95.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
FEDERALBNK,355.85,0.28,0.28,0.28,0.28,0.28,86347500,0.03,0.03,,,,,,,,,315000,-95.5,-95.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
LT,"3,971.1",0.51,0.51,0.51,0.51,0.51,11907875,0.09,0.09,,,,,,,,,69300,-95.5,-95.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
ONGC,240.03,-0.89,-0.89,-0.89,-0.89,-0.89,55359000,0.15,0.15,,,,,,,,,447750,-95.4,-95.4,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
GAIL,175.21,0.33,0.33,0.33,0.33,0.33,79509350,0.08,0.08,,,,,,,,,241400,-95.39,-95.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
INDIANB,835.1,0.41,0.41,0.41,0.41,0.41,12387000,-0.04,-0.04,,,,,,,,,45000,-95.39,-95.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
PGEL,626.1,1.52,1.52,1.52,1.52,1.52,10716000,-0.08,-0.08,,,,,,,,,102600,-95.38,-95.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
INDUSINDBK,"1,012.4",-0.15,-0.15,-0.15,-0.15,-0.15,34185200,-0.01,-0.01,,,,,,,,,91700,-95.36,-95.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
RVNL,223.5,0.02,0.02,0.02,0.02,0.02,34950300,0.13,0.13,,,,,,,,,115500,-95.33,-95.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
LUPIN,"2,433.9",-0.04,-0.04,-0.04,-0.04,-0.04,5827175,0.18,0.18,,,,,,,,,31875,-95.25,-95.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
SBILIFE,"1,890.8",0.49,0.49,0.49,0.49,0.49,6473250,0.23,0.23,,,,,,,,,27750,-95.25,-95.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
YESBANK,22.63,0.13,0.13,0.13,0.13,0.13,1194582100,0.03,0.03,,,,,,,,,3576500,-95.16,-95.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
ZYDUSLIFE,"1,130.5",0.78,0.78,0.78,0.78,0.78,9792000,0.05,0.05,,,,,,,,,27900,-95.09,-95.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
ADANIENT,3060,0.04,0.04,0.04,0.04,0.04,15792063,-0.14,-0.14,,,,,,,,,74160,-95.03,-95.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
JSWSTEEL,"1,284.7",0.58,0.58,0.58,0.58,0.58,39265425,0.03,0.03,,,,,,,,,67500,-95.02,-95.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
