Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Price,Price Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg %
GODREJCP,,,,,,11.1,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1087.2,1.03,19025.0,64.0,0.34,0.62,1100.0,325.0,1.0,44.0,2.0,-1.16,LB,,,,,,,,,,,,,,,,,
MANKIND,,,,,,5.6,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,2569.7,0.22,9766.0,18.0,0.18,0.72,2600.0,228.0,0.0,0.0,,-1.17,LB,,,,,,,,,,,,,,,,,
APOLLOHOSP,,,,,,0.5,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,8891.5,0.01,15018.0,72.0,0.48,0.74,9000.0,330.0,-5.0,0.0,,-1.21,LB,,,,,,,,,,,,,,,,,
POWERGRID,,,,,,-2.65,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,286.5,-0.92,20448.0,155.0,0.76,0.96,290.0,1805.0,53.0,975.0,27.0,-1.21,SB,,,,,,,,,,,,,,,,,
KPITTECH,,,,,,7.65,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,592.6,1.31,14195.0,455.0,3.31,0.92,600.0,725.0,31.0,188.0,20.0,-1.23,LB,,,,,,,,,,,,,,,,,
ADANIENSOL,,,,,,-32.1,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1678.8,-1.88,25800.0,431.0,1.7,0.52,1700.0,609.0,123.0,340.0,9.0,-1.25,SB,,,,,,,,,,,,,,,,,
MCX,,,,,,5.1,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,2764.4,0.18,26493.0,75.0,0.28,0.89,2800.0,2377.0,7.0,1523.0,-20.0,-1.27,LB,,,,,,,,,,,,,,,,,
BHARATFORG,,,,,,-24.1,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,2171.3,-1.1,14097.0,79.0,0.56,0.86,2200.0,527.0,-20.0,227.0,1.0,-1.3,SB,,,,,,,,,,,,,,,,,
ABCAPITAL,,,,,,-7.8,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,394.45,-1.94,9992.0,122.0,1.24,0.95,400.0,390.0,38.0,216.0,12.0,-1.39,SB,,,,,,,,,,,,,,,,,
ICICIPRULI,,,,,,0.6,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,512.65,0.12,19915.0,33.0,0.17,0.68,520.0,516.0,12.0,0.0,,-1.41,LB,,,,,,,,,,,,,,,,,
RELIANCE,,,,,,-4.9,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1281.6,-0.38,179026.0,3585.0,2.04,0.85,1300.0,12076.0,792.0,7840.0,185.0,-1.42,SB,,,,,,,,,,,,,,,,,
INDHOTEL,,,,,,2.25,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,739.3,0.31,20027.0,87.0,0.44,0.8,750.0,414.0,8.0,0.0,,-1.43,LB,,,,,,,,,,,,,,,,,
MOTHERSON,,,,,,-2.31,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,147.75,-1.54,18707.0,98.0,0.53,0.89,150.0,500.0,34.0,253.0,15.0,-1.5,SB,,,,,,,,,,,,,,,,,
BANKNIFTY,,,,,,-271.2,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,57125.0,-0.47,56605.0,908.0,1.63,0.88,58000.0,49507.0,2341.0,32214.0,903.0,-1.51,SB,,,,,,,,,,,,,,,,,
KEI,,,,,,-38.0,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,4824.0,-0.78,11513.0,9.0,0.08,0.56,4900.0,224.0,7.0,0.0,,-1.55,SB,,,,,,,,,,,,,,,,,
RADICO,,,,,,-43.1,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,4135.0,-1.03,4200.0,-20.0,-0.47,0.29,4200.0,251.0,58.0,21.0,8.0,-1.55,LU,,,,,,,,,,,,,,,,,
BAJAJHLDNG,,,,,,-37.0,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,10827.0,-0.34,4187.0,7.0,0.17,0.5,11000.0,127.0,0.0,0.0,,-1.57,SB,,,,,,,,,,,,,,,,,
CAMS,,,,,,-0.8,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,787.4,-0.1,6919.0,38.0,0.55,0.68,800.0,374.0,7.0,103.0,0.0,-1.58,SB,,,,,,,,,,,,,,,,,
POLICYBZR,,,,,,12.2,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1573.4,0.78,23348.0,95.0,0.41,1.14,1600.0,581.0,2.0,578.0,2.0,-1.66,LB,,,,,,,,,,,,,,,,,
NESTLEIND,,,,,,17.4,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1473.1,1.2,20601.0,19.0,0.09,0.48,1500.0,1535.0,-17.0,303.0,-3.0,-1.79,LB,,,,,,,,,,,,,,,,,
KAYNES,,,,,,-8.0,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,3142.0,-0.25,23403.0,89.0,0.38,1.0,3200.0,678.0,79.0,341.0,37.0,-1.81,SB,,,,,,,,,,,,,,,,,
