Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Price,Price Chg%,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price chg (%),Volume chg (%),OI chg (%),Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg (%)
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,CGPOWER,852.6,-30.5,-3.45,16947300,443700,2.69,0.55,33.47,6.09,16.26 - 49.94,29.99 / 42.92 / 40.89,50.42,65.04,11.6,-22.02,-18.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,CHOLAFIN,1798,-0.7,-0.04,11743125,230000,2,0.64,33.2,-1.1,15.00 - 65.38,34.13 / 35.44 / 37.49,36.13,78.46,-2.72,-6.32,-11.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,CIPLA,1446.5,32.7,2.31,9595225,53550,0.56,0.83,22.43,0.99,7.76 - 46.04,20.08 / 17.86 / 23.92,37.64,64.23,11.7,25.59,-6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,COALINDIA,412,-13.85,-3.25,61412850,1680750,2.81,0.79,22.25,-5.04,9.08 - 45.52,7.47 / 11.62 / 15.90,35.13,61.38,197.86,91.48,39.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,COCHINSHIP,1400.1,-5,-0.36,5262000,14000,0.27,0.85,29.44,-0.98,15.66 - 61.29,25.96 / 38.23 / 38.32,30.64,17.72,13.41,-22.99,-23.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,COFORGE,1660.6,132.1,8.64,15181475,1164700,8.31,0.64,37.35,-10.82,14.76 - 100.42,33.87 / 52.74 / 46.72,27.39,62.6,10.27,-29.18,-20.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,COLPAL,2177.7,28.9,1.34,3825800,9625,0.25,0.63,32.43,16.15,14.77 - 49.18,30.17 / 32.26 / 30.81,51.32,95.93,7.49,0.53,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,CONCOR,520.75,8.9,1.74,18402500,168750,0.93,0.8,26.61,-1.3,14.61 - 80.26,60.75 / 50.71 / 42.26,18.57,60.98,-56.2,-47.53,-37.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,CROMPTON,250.8,-0.1,-0.04,49490850,290250,0.59,0.46,34.01,0.35,15.15 - 43.83,20.81 / 25.37 / 30.64,65.76,80.08,63.43,34.06,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,CUMMINSIND,5555.5,-113.5,-2,3568600,82200,2.36,0.69,34.38,1.69,15.05 - 37.75,22.70 / 25.60 / 28.07,84.19,89.84,51.45,34.3,22.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,DABUR,433.05,3.75,0.87,26815000,696250,2.67,0.72,27.78,1.17,13.58 - 33.00,10.91 / 31.97 / 27.76,74.72,88.62,154.63,-13.11,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,DALBHARAT,1837.3,1.2,0.07,3472950,7150,0.21,0.89,28.11,-6.27,13.87 - 79.50,29.00 / 32.08 / 32.18,21.7,57.72,-3.07,-12.38,-12.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,DELHIVERY,472.6,1.9,0.4,20833000,215800,1.05,0.69,35.29,1.29,18.50 - 49.76,27.02 / 46.39 / 45.08,56.17,86.99,30.61,-23.93,-21.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,DIVISLAB,7485,23,0.31,3395100,13400,0.4,0.7,29.04,4.46,6.18 - 50.03,28.22 / 23.75 / 23.84,52,83.33,2.91,22.27,21.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,DIXON,13660,2,0.01,2089650,3400,0.16,0.79,40.34,-1.22,17.08 - 61.85,50.26 / 50.59 / 49.88,52.29,68.7,-19.74,-20.26,-19.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,DLF,658.45,5.2,0.8,40624850,366700,0.91,0.78,34.14,2.15,13.80 - 56.30,35.15 / 46.43 / 45.00,47.18,77.64,-2.87,-26.47,-24.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,DMART,4047.7,21.3,0.53,4231800,1050,0.02,0.63,26.03,-1.03,14.71 - 49.03,15.44 / 29.71 / 30.60,32.98,61.38,68.59,-12.39,-14.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,DRREDDY,1144.9,-3.5,-0.3,12960000,159375,1.25,0.68,24.24,-0.33,7.63 - 40.88,19.46 / 30.21 / 30.45,50.32,71.14,24.56,-19.76,-20.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
