Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern
CANBK,126.25,-1.62,364945500.0,1.15,,,,,,,,,9949500.0,-93.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
JIOFIN,236.57,-0.22,147305050.0,1.02,,,,,,,,,2843500.0,-93.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
SHRIRAMFIN,1044.9,0.18,26726700.0,0.92,,,,,,,,,833250.0,-93.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
VOLTAS,1313.6,-1.02,6732000.0,1.5,,,,,,,,,150750.0,-93.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
BHEL,408.5,-2.48,72809625.0,0.99,,,,,,,,,1832250.0,-93.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
ADANIPOWER,211.35,-1.84,129344250.0,1.7,,,,,,,,,3003300.0,-93.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
ETERNAL,299.0,0.84,145495150.0,1.72,,,,,,,,,4289825.0,-94.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
HAL,4581.0,-1.29,4547100.0,0.71,,,,,,,,,110250.0,-94.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup
LTF,308.0,-0.79,49113000.0,0.73,,,,,,,,,1134000.0,-94.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
INOXWIND,78.25,-0.62,83200000.0,1.33,,,,,,,,,1670400.0,-94.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup
RBLBANK,367.1,0.88,39544625.0,1.66,,,,,,,,,1203325.0,-94.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Fresh Long Buildup
