Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %
BANKNIFTY,57125.0,-0.47,1698150.0,1.63,,,,,,,,,73500.0,-88.3,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,57125.0,58267.5,54840.0,True,Eligible,57099.8,56688.2,56731.8,EOD EXIT,Neither target nor stop reached; exited at close,56731.8,393.1999999999971,0.6883150984682662
BANKBARODA,241.5,-1.71,116388675.0,0.64,,,,,,,,,4168125.0,-90.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,241.5,246.33,231.84,True,Eligible,245.0,238.45,239.0,EOD EXIT,Neither target nor stop reached; exited at close,239.0,2.5,1.0351966873706004
TMPV,326.4,-0.99,62672000.0,2.94,,,,,,,,,2169600.0,-91.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,326.4,332.928,313.344,True,Eligible,326.85,322.9,324.65,EOD EXIT,Neither target nor stop reached; exited at close,324.65,1.75,0.5361519607843137
LT,3826.0,-0.07,11008025.0,2.07,,,,,,,,,370475.0,-92.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,3826.0,3902.52,3672.96,True,Eligible,3836.4,3786.4,3825.0,EOD EXIT,Neither target nor stop reached; exited at close,3825.0,1.0,0.026136957658128592
RELIANCE,1281.6,-0.38,89513000.0,2.04,,,,,,,,,2231000.0,-92.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1281.6,1307.232,1230.3359999999998,True,Eligible,1277.7,1265.6,1268.9,EOD EXIT,Neither target nor stop reached; exited at close,1268.9,12.699999999999818,0.9909488139825078
PGEL,582.15,-0.21,8720050.0,1.52,,,,,,,,,291650.0,-94.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,582.15,593.793,558.8639999999999,True,Eligible,587.75,570.35,583.7,EOD EXIT,Neither target nor stop reached; exited at close,583.7,-1.5500000000000682,-0.2662544017864929
SOLARINDS,18393.0,-1.87,696700.0,1.44,,,,,,,,,15300.0,-94.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,18393.0,18760.86,17657.28,True,Eligible,18560.0,18076.0,18249.0,EOD EXIT,Neither target nor stop reached; exited at close,18249.0,144.0,0.7829065405317239
MIDCPNIFTY,14637.75,-0.06,1534560.0,0.73,,,,,,,,,30720.0,-92.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,14637.75,14930.505,14052.24,True,Eligible,14627.35,14514.2,14537.65,EOD EXIT,Neither target nor stop reached; exited at close,14537.65,100.10000000000036,0.6838482690304204
HDFCAMC,2544.0,-0.74,5594400.0,0.37,,,,,,,,,46500.0,-96.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,2544.0,2594.88,2442.24,True,Eligible,2543.2,2512.1,2529.8,EOD EXIT,Neither target nor stop reached; exited at close,2529.8,14.199999999999818,0.5581761006289236
GMRAIRPORT,108.67,-0.09,103781025.0,0.73,,,,,,,,,1534500.0,-96.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,108.67,110.8434,104.3232,True,Eligible,108.84,107.38,107.99,EOD EXIT,Neither target nor stop reached; exited at close,107.99,0.6800000000000068,0.6257476764516489
