Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
POWERGRID,286.5,-0.92,38851200.0,0.76,,,,,,,,,661200.0,-95.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
POLYCAB,9060.0,-0.01,2008500.0,0.82,,,,,,,,,38375.0,-95.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
AMBER,7270.0,-0.53,1106300.0,1.07,,,,,,,,,24100.0,-95.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
CONCOR,520.75,1.74,18402500.0,0.93,,,,,,,,,767500.0,-95.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
KFINTECH,938.35,0.14,3721975.0,0.78,,,,,,,,,285200.0,-95.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
PATANJALI,348.85,-0.01,25733350.0,-0.08,,,,,,,,,552550.0,-95.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
SBICARD,657.0,2.15,21382400.0,0.22,,,,,,,,,406400.0,-95.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
NESTLEIND,1473.1,1.2,10300500.0,0.09,,,,,,,,,221000.0,-95.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
GAIL,174.98,-0.27,70002450.0,0.8,,,,,,,,,1118250.0,-96.04,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
UNOMINDA,1165.0,-0.44,4427500.0,0.71,,,,,,,,,82500.0,-96.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
APLAPOLLO,1850.5,-0.4,3901800.0,1.15,,,,,,,,,65800.0,-96.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
HINDZINC,527.4,-0.89,23795625.0,1.07,,,,,,,,,412825.0,-96.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
RVNL,223.34,-0.05,27714225.0,0.15,,,,,,,,,556325.0,-96.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
PNB,112.05,-0.27,270200000.0,0.64,,,,,,,,,3448000.0,-96.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
LICI,423.4,0.42,18048800.0,0.11,,,,,,,,,331800.0,-96.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
SONACOMS,711.75,-1.13,10569300.0,-0.42,,,,,,,,,214375.0,-96.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
MOTILALOFS,861.3,-1.36,6627025.0,0.79,,,,,,,,,111600.0,-96.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
GODREJCP,1087.2,1.03,9512500.0,0.34,,,,,,,,,126000.0,-96.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BAJAJ-AUTO,11260.0,-0.02,1909950.0,0.54,,,,,,,,,23325.0,-96.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
SBIN,1020.1,-0.72,71430750.0,0.62,,,,,,,,,837750.0,-96.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
SBILIFE,1880.8,0.44,6613125.0,0.89,,,,,,,,,91125.0,-96.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BPCL,320.65,0.64,36326175.0,0.34,,,,,,,,,539175.0,-96.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
MAZDOCK,2278.8,-1.36,4766625.0,0.98,,,,,,,,,81900.0,-96.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
VEDL,263.85,-1.01,40728400.0,1.28,,,,,,,,,767050.0,-96.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
OIL,434.95,-0.92,14880600.0,-0.04,,,,,,,,,204400.0,-96.54,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
RECLTD,366.0,0.37,37669275.0,0.8,,,,,,,,,883575.0,-96.54,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
MOTHERSON,147.75,-1.54,115048050.0,0.53,,,,,,,,,2318550.0,-96.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
IOC,141.97,0.56,136704750.0,0.34,,,,,,,,,1345500.0,-96.62,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
GMRAIRPORT,108.67,-0.09,103781025.0,0.73,,,,,,,,,1534500.0,-96.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
NHPC,78.44,-0.29,126385750.0,0.25,,,,,,,,,1529000.0,-96.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
MCX,2764.4,0.18,5960925.0,0.28,,,,,,,,,90000.0,-96.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BAJFINANCE,1052.5,-0.07,62058750.0,0.44,,,,,,,,,729750.0,-96.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
INDHOTEL,739.3,0.31,20027000.0,0.44,,,,,,,,,213000.0,-96.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
NAM-INDIA,1142.8,-0.26,6695000.0,0.44,,,,,,,,,90000.0,-96.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
