Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
YESBANK,22.94,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,1180742600,-0.04,-0.04,-0.04,-0.04,-0.04,,,,,,5007100,-89.69,-89.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
INDUSTOWER,393.35,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,90033700,0.2,0.2,0.2,0.2,0.2,,,,,,479400,-89.89,-89.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
GMRAIRPORT,106.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,129142125,0.02,0.02,0.02,0.02,0.02,,,,,,676575,-89.93,-89.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
RADICO,"4,456.2",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,800100,0.58,0.58,0.58,0.58,0.58,,,,,,17100,-90.05,-90.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BHARTIARTL,1963,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,54568950,0.06,0.06,0.06,0.06,0.06,,,,,,213275,-90.28,-90.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ONGC,241.92,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,56121750,-0.01,-0.01,-0.01,-0.01,-0.01,,,,,,704250,-90.35,-90.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
SIEMENS,3958,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,3543400,0.41,0.41,0.41,0.41,0.41,,,,,,78050,-90.39,-90.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
MARICO,876,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,-0.54,16303200,0.35,0.35,0.35,0.35,0.35,,,,,,343200,-90.43,-90.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NIFTYNXT50,74300,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,19350,0.13,0.13,0.13,0.13,0.13,,,,,,250,-90.48,-90.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TIINDIA,"2,804.9",2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2208800,-0.06,-0.06,-0.06,-0.06,-0.06,,,,,,20600,-90.65,-90.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
SBIN,"1,038.9",-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,-0.27,82570500,0.28,0.28,0.28,0.28,0.28,,,,,,907500,-90.84,-90.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ICICIPRULI,513.6,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,18316850,0.39,0.39,0.39,0.39,0.39,,,,,,181300,-90.94,-90.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BPCL,324.95,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,-0.51,40430225,-0.22,-0.22,-0.22,-0.22,-0.22,,,,,,493750,-91.0,-91.0,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
INDUSINDBK,"1,019.9",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,33704300,-0.05,-0.05,-0.05,-0.05,-0.05,,,,,,120400,-91.05,-91.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
MOTILALOFS,874.95,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,7025375,-0.13,-0.13,-0.13,-0.13,-0.13,,,,,,92225,-91.13,-91.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
MIDCPNIFTY,14859.55,0,0,0,0,0,0,0,0,0,0,1895880,0.39,0.39,0.39,0.39,0.39,,,,,,23760,-91.2,-91.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BSE,"3,571.1",-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,8435600,0.29,0.29,0.29,0.29,0.29,,,,,,251200,-91.21,-91.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
CROMPTON,267.35,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,59559300,0.08,0.08,0.08,0.08,0.08,,,,,,393450,-91.23,-91.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
APOLLOHOSP,"8,852.5",0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,1924500,-0.1,-0.1,-0.1,-0.1,-0.1,,,,,,21125,-91.36,-91.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PIIND,"2,829.2",0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,2722825,0.61,0.61,0.61,0.61,0.61,,,,,,37625,-91.38,-91.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PAGEIND,39985,-0.58,-0.58,-0.58,-0.58,-0.58,-0.58,-0.58,-0.58,-0.58,-0.58,233420,0.51,0.51,0.51,0.51,0.51,,,,,,2580,-91.45,-91.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
OFSS,11529,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,1289500,0.2,0.2,0.2,0.2,0.2,,,,,,13800,-91.55,-91.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TECHM,1645,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,-0.77,17176200,0.25,0.25,0.25,0.25,0.25,,,,,,231600,-91.62,-91.62,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
JSWENERGY,567.55,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,24666950,-0.07,-0.07,-0.07,-0.07,-0.07,,,,,,151575,-91.7,-91.7,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
