Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
GVT&D,4207.2,0.46,1818625.0,0.21,,,,,,,,,9000.0,-99.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4207.2,,
MAZDOCK,2285.0,0.47,3502800.0,0.1,,,,,,,,,14625.0,-99.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2285.0,,
OBEROIRLTY,1818.0,0.46,4336150.0,0.28,,,,,,,,,24500.0,-99.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1818.0,,
VOLTAS,1338.0,0.22,5719875.0,0.17,,,,,,,,,30750.0,-99.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1338.0,,
ALKEM,5694.0,0.69,763750.0,0.05,,,,,,,,,2750.0,-99.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,5694.0,,
APOLLOHOSP,8861.0,0.07,1532000.0,0.23,,,,,,,,,5000.0,-99.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,8861.0,,
PNBHOUSING,1063.5,0.67,4416100.0,0.12,,,,,,,,,16250.0,-99.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1063.5,,
TRENT,2896.4,0.47,9573750.0,0.14,,,,,,,,,31275.0,-99.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2896.4,,
TVSMOTOR,3893.0,0.24,9589125.0,0.2,,,,,,,,,33775.0,-99.3,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3893.0,,
GLENMARK,2215.4,0.46,5906625.0,0.2,,,,,,,,,21000.0,-99.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2215.4,,
BANKNIFTY,57501.0,0.73,1368780.0,-0.11,,,,,,,,,46140.0,-93.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,57501.0,,
JUBLFOOD,421.95,1.33,12278750.0,-0.14,,,,,,,,,137500.0,-98.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,421.95,,
OFSS,10904.0,2.08,1078000.0,-0.06,,,,,,,,,29100.0,-96.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,10904.0,,
KPITTECH,580.0,1.46,10140875.0,-0.01,,,,,,,,,146475.0,-98.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,580.0,,
RVNL,224.68,1.18,23481150.0,-0.04,,,,,,,,,232925.0,-98.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,55,MEDIUM,NEUTRAL,WATCH,HIGH,224.68,,
