Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
HINDPETRO,368.25,0.08,0.08,0.08,0.08,0.08,39491550,0.38,0.38,,,,,,,,,2344950,-39.97,-39.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
SUZLON,47.14,-1.28,-1.28,-1.28,-1.28,-1.28,453326500,-0.42,-0.42,,,,,,,,,22745700,-41.37,-41.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
LODHA,"1,200.2",-1.26,-1.26,-1.26,-1.26,-1.26,11512500,0.73,0.73,,,,,,,,,945625,-41.49,-41.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
NIFTY,24116,-0.47,-0.47,-0.47,-0.47,-0.47,13182130,1.15,1.15,,,,,,,,,1277705,-42.05,-42.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
HDFCLIFE,535.25,-0.73,-0.73,-0.73,-0.73,-0.73,46597100,0.04,0.04,,,,,,,,,1602700,-42.16,-42.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
BHEL,417,-1.91,-1.91,-1.91,-1.91,-1.91,70006125,0.57,0.57,,,,,,,,,4935000,-42.22,-42.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
TATAPOWER,376.15,-0.99,-0.99,-0.99,-0.99,-0.99,58037700,0.14,0.14,,,,,,,,,1555850,-42.77,-42.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
VBL,436.1,-0.63,-0.63,-0.63,-0.63,-0.63,52122000,0.23,0.23,,,,,,,,,2320500,-43.41,-43.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
TECHM,"1,589.6",-0.58,-0.58,-0.58,-0.58,-0.58,18840600,0.6,0.6,,,,,,,,,807000,-44.05,-44.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
CIPLA,"1,428.3",-0.08,-0.08,-0.08,-0.08,-0.08,9026575,1.29,1.29,,,,,,,,,476850,-44.07,-44.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
BHARATFORG,"2,068.9",-1.03,-1.03,-1.03,-1.03,-1.03,8383000,0.48,0.48,,,,,,,,,393500,-45.08,-45.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
GODREJCP,937.1,0.25,0.25,0.25,0.25,0.25,15884000,1.69,1.69,,,,,,,,,731500,-45.08,-45.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
INFY,"1,125.5",0.51,0.51,0.51,0.51,0.51,78906400,-0.29,-0.29,,,,,,,,,4266000,-45.11,-45.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
HDFCAMC,"2,539.4",0.96,0.96,0.96,0.96,0.96,7194600,0,0,,,,,,,,,363300,-45.25,-45.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
FINNIFTY,"26,054.6",-0.48,-0.48,-0.48,-0.48,-0.48,41160,-0.15,-0.15,,,,,,,,,2820,-45.35,-45.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
VOLTAS,1220,-2.4,-2.4,-2.4,-2.4,-2.4,10170375,5.83,5.83,,,,,,,,,1170375,-45.6,-45.6,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
FORTIS,916.8,-0.36,-0.36,-0.36,-0.36,-0.36,11051500,-0.45,-0.45,,,,,,,,,736250,-45.93,-45.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
ITC,268.25,-0.96,-0.96,-0.96,-0.96,-0.96,147713475,0.33,0.33,,,,,,,,,6784425,-47.04,-47.04,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
HDFCBANK,718.9,-0.72,-0.72,-0.72,-0.72,-0.72,301297100,-0.06,-0.06,,,,,,,,,11399050,-47.64,-47.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
HYUNDAI,2215,0.84,0.84,0.84,0.84,0.84,3363800,0,0,,,,,,,,,167750,-47.64,-47.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
HINDUNILVR,"2,022.1",-0.96,-0.96,-0.96,-0.96,-0.96,13963500,1.94,1.94,,,,,,,,,730500,-47.7,-47.7,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
BANKBARODA,244.16,0.02,0.02,0.02,0.02,0.02,128313900,0.43,0.43,,,,,,,,,3972150,-48.03,-48.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
CDSL,"1,340.9",-0.32,-0.32,-0.32,-0.32,-0.32,10206800,-0.9,-0.9,,,,,,,,,361950,-48.34,-48.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
ALKEM,5444,-0.5,-0.5,-0.5,-0.5,-0.5,1458750,1.23,1.23,,,,,,,,,101000,-48.47,-48.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
FORCEMOT,17795,-2.23,-2.23,-2.23,-2.23,-2.23,246550,2.2,2.2,,,,,,,,,23450,-48.49,-48.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
