Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg %,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI chg,OI Chg (Value),Volume,Volume Chg %
CHOLAFIN,6.73,1810.0,1851.8,1797.7,1804.9,42.4,2.41,-1.69,-5.19,187,0.9,-0.06,-9.84,1118,27.83,368.0,15.03,-750,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,4.46,1455.0,1467.9,1445.2,1461.9,13,0.9,0.06,0.29,65,0.28,-0.02,-2.2,236,4.39,79.0,1.61,-157,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,4.73,408.4,408.4,403.35,404.5,-2.8,-0.69,-0.75,-3.34,154,0.28,-0.05,-6.1,1598,10.98,631.0,5.32,-967,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,6.21,1400.0,1404.9,1397.0,1402.5,13.6,0.98,0.06,0.21,-7,-0.05,-0.01,-1.22,19,0.74,-11.0,-0.52,-30,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COFORGE,7.77,1725.0,1753.5,1712.0,1745.2,55.7,3.3,2.12,6.32,96,0.3,-0.02,-2.2,2002,17.86,1631.0,16.0,-371,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,6.39,2170.0,2170.0,2141.1,2159.5,8.6,0.4,-0.61,-2.05,79,0.51,0.0,0.0,266,9.58,179.0,9.05,-87,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCOR,5.45,524.0,530.0,524.0,527.9,3.45,0.66,0.09,0.36,-9,-0.05,0.02,2.27,15,0.42,75.0,2.38,60,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROMPTON,7.61,250.95,251.0,249.0,249.7,0.75,0.3,0.48,1.38,-3,-0.01,-0.03,-5.36,106,4.53,-9.0,-0.68,-115,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMMINSIND,7.07,5502.5,5502.5,5433.0,5445.0,-46.5,-0.85,0.78,2.46,176,0.9,-0.06,-6.32,198,11.55,68.0,4.18,-130,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,6.4,430.35,434.9,429.0,434.15,6.75,1.58,0.16,0.55,55,0.23,-0.05,-6.58,572,14.31,186.0,6.11,-386,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
