Screen,Image,Image Path,Report Type,Status
Screen 3,2026-07-22_09-57-43.630.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-57-43.630.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_09-59-13.641.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_09-59-13.641.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-00-43.649.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-00-43.649.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-02-13.722.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-02-13.722.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-03-43.657.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-03-43.657.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-05-13.641.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-05-13.641.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-06-43.642.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-06-43.642.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-08-13.668.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-08-13.668.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-09-43.725.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-09-43.725.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-11-13.657.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-11-13.657.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-12-43.663.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-12-43.663.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-14-13.726.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-14-13.726.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-15-43.692.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-15-43.692.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-17-13.675.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-17-13.675.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-18-43.694.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-18-43.694.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-20-13.696.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-20-13.696.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-21-43.695.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-21-43.695.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-23-13.710.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-23-13.710.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-24-43.714.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-24-43.714.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-26-13.804.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-26-13.804.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-27-43.722.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-27-43.722.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-29-13.731.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-29-13.731.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-30-43.739.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-30-43.739.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-32-13.743.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-32-13.743.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-33-43.759.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-33-43.759.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-35-13.756.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-35-13.756.jpeg,UNKNOWN,PENDING
Screen 3,2026-07-22_10-36-43.755.jpeg,D:\My-data\Share_P&L\Ichart Data\Screenshot\July26\2026-07-22\Screen 3\2026-07-22_10-36-43.755.jpeg,UNKNOWN,PENDING
