trading_date,observation_timestamp,symbol,direction,open_price,current_price,opening_straddle_premium,approaching_level,breakout_level,distance_to_breakout,approach_progress_pct
2026-08-18,2026-08-18T10:47:14.771910,BOSCHLTD,UP,47095.0,48015.0,1351.6265,47770.81325,48446.6265,431.6264999999985,68.0661410530202
2026-08-18,2026-08-18T10:47:14.771910,ADANIENSOL,UP,1585.1,1627.6,64.67208,1617.4360399999998,1649.77208,22.17208000000005,65.7161482976889
2026-08-18,2026-08-18T10:47:14.771910,COCHINSHIP,UP,1464.7,1494.0,50.67862,1490.03931,1515.37862,21.378619999999955,57.81530752021258
2026-08-18,2026-08-18T10:47:14.771910,ALKEM,UP,5415.5,5512.0,170.04670000000002,5500.52335,5585.5467,73.54669999999987,56.74911656621386
2026-08-18,2026-08-18T10:47:14.771910,MOTILALOFS,DOWN,955.85,938.25,34.02826,938.83587,921.82174,16.428260000000023,51.72171600898788
2026-08-18,2026-08-18T10:47:14.771910,NMDC,DOWN,84.99,83.59,2.762175,83.60891249999999,82.227825,1.3621750000000077,50.684695937078274
2026-08-19,2026-08-19T09:20:08.642909,LTF,DOWN,326.4,319.85,11.06496,320.86752,315.33504,4.514960000000031,59.19587599051379
2026-08-19,2026-08-19T09:20:08.642909,SUPREMEIND,UP,3551.0,3606.1,95.5219,3598.76095,3646.5219,40.42190000000028,57.683107224625886
2026-08-19,2026-08-19T09:20:08.642909,SUNPHARMA,UP,1872.3,1892.0,37.446,1891.023,1909.746,17.745999999999867,52.60909042354336
2026-08-19,2026-08-19T09:25:17.651121,BRITANNIA,UP,5460.0,5528.0,105.378,5512.689,5565.378,37.3779999999997,64.52959820835468
2026-08-19,2026-08-19T09:25:17.651121,PHOENIXLTD,DOWN,1950.5,1921.0,46.0318,1927.4841,1904.4682,16.531799999999976,64.0861317610869
2026-08-19,2026-08-19T09:25:17.651121,UNOMINDA,DOWN,1283.0,1263.7,31.0486,1267.4757,1251.9514,11.748600000000124,62.16061271683733
2026-08-19,2026-08-19T09:25:17.651121,ETERNAL,UP,314.05,319.35,9.60993,318.854965,323.65993000000003,4.3099300000000085,55.151286221647936
2026-08-19,2026-08-19T09:25:17.651121,CGPOWER,DOWN,886.0,869.85,29.3266,871.3367,856.6734,13.176600000000008,55.06945912584472
2026-08-19,2026-08-19T09:25:17.651121,KEI,DOWN,5780.1,5693.1,158.95275,5700.623625,5621.14725,71.95275000000038,54.73324620052185
2026-08-19,2026-08-19T09:25:17.651121,COALINDIA,DOWN,407.2,403.0,8.06256,403.16872,399.13744,3.8625600000000304,52.0926355896885
2026-08-19,2026-08-19T09:25:17.651121,SHREECEM,DOWN,24575.0,24320.0,496.415,24326.7925,24078.585,241.41500000000087,51.36831078835249
2026-08-19,2026-08-19T09:25:17.651121,FORTIS,DOWN,925.0,913.4,22.8475,913.57625,902.1525,11.247499999999944,50.77141919247192
2026-08-19,2026-08-19T09:30:25.536416,AMBER,DOWN,7385.0,7241.5,219.3345,7275.33275,7165.6655,75.83449999999993,65.42518390859622
