Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
POWERINDIA,32610.0,430.0,476650.0,-1.14,,,,,,,,,38500.0,-45.87,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
IEX,123.46,-0.11,71248650.0,-1.37,,,,,,,,,3066750.0,-46.18,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
CANBK,127.0,0.25,320544000.0,1.28,,,,,,,,,13857750.0,-46.24,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
BAJFINANCE,1053.3,-5.7,61369500.0,1.55,,,,,,,,,3726750.0,-46.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
LTF,306.2,0.1,49223250.0,-0.54,,,,,,,,,3845250.0,-46.71,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
TECHM,1559.6,-0.8,19172400.0,-1.58,,,,,,,,,1372200.0,-47.36,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
MOTILALOFS,942.2,-4.1,5208000.0,-2.41,,,,,,,,,470425.0,-47.58,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ZYDUSLIFE,1119.9,-4.4,9002700.0,-1.62,,,,,,,,,1119600.0,-47.58,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
MAXHEALTH,1085.3,5.7,10039575.0,-0.39,,,,,,,,,728175.0,-47.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
MCX,2762.9,-49.2,7339725.0,-1.05,,,,,,,,,532575.0,-47.69,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
FEDERALBNK,354.0,0.6,81375000.0,1.52,,,,,,,,,4805000.0,-47.76,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
GODREJPROP,2063.5,-8.7,7138625.0,2.5,,,,,,,,,716300.0,-47.95,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
BANKBARODA,244.35,-1.1,107947125.0,1.91,,,,,,,,,6177600.0,-48.16,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
GRASIM,3156.7,-11.7,9422000.0,-0.91,,,,,,,,,1129750.0,-48.71,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ULTRACEMCO,11899.0,25.0,1653650.0,1.8,,,,,,,,,155000.0,-48.74,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
TATAELXSI,3410.9,-4.1,3224375.0,-1.25,,,,,,,,,182250.0,-49.0,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
BHARTIARTL,1913.9,-15.9,31002775.0,-0.02,,,,,,,,,1265400.0,-49.27,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
CROMPTON,249.5,-3.9,52771750.0,1.29,,,,,,,,,3033650.0,-49.44,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
HINDUNILVR,2156.3,-0.2,17225400.0,-0.26,,,,,,,,,908400.0,-50.46,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
MANAPPURAM,353.75,3.7,55647000.0,0.81,,,,,,,,,4026000.0,-50.59,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
CDSL,1335.4,-4.6,9266775.0,-2.27,,,,,,,,,590900.0,-50.63,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ALKEM,5537.0,-50.0,1524000.0,1.57,,,,,,,,,98750.0,-50.75,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ICICIPRULI,496.65,-2.4,17806250.0,0.22,,,,,,,,,1453175.0,-51.39,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
